항목,값,비고
release tag,desktop-v0.1.0,GitHub release 기준
release URI,https://github.com/sinbumu/PoE1-Local-Item-Value-Prediction-System/releases/tag/desktop-v0.1.0,최종 보고서 reference용
installer filename,PoE1.Item.Value.Triage.Setup.0.1.0.exe,수동 확인된 release asset
installer size,266 MB,수동 확인된 installer size
commit hash,8a82b4c9cad68ec5173896d60bdbfdef409921ba,release 기준 commit
build environment,Windows build machine,embedded Python 준비 후 npm run dist:win
known issue,installed app model path issue fixed after discovery,수정 후 설치판 정상 동작 확인
