split,row_count,positive_rows,negative_rows,accuracy,precision_class_1,recall_class_1,f1_class_1,precision_class_0,recall_class_0,f1_class_0,search_worthy_miss_rate,high_value_miss_rate
train,2724973,1576801,1148172,0.722277,0.753352,0.773193,0.763144,0.676834,0.652353,0.664368,0.226807,0.167765
valid,340621,209408,131213,0.723129,0.771114,0.781661,0.776352,0.643768,0.629717,0.636665,0.218339,0.154912
test,340623,217608,123015,0.738603,0.787523,0.809143,0.798187,0.645150,0.613819,0.629095,0.190857,0.134574
